j,t,l, Inv, Inv_LB, shortage
D0003, 28, Tanani_Sup, 0, 0, 0
D0003, 28, Mud_Bay_Sup, 0, 0, 0
D0003, 28, Port_Chilkoot, 0, 0, 0
D0003, 28, Elmendorf_AFB, 0, 0, 0
D0003, 28, Anchorage_Port, 0, 0, 0
D0003, 28, Seward_MPF_Port, 0, 0, 0
D0003, 28, Fairbanks_Airport, 0, 2, 2
D0003, 28, Nome_Airport, 0, 0, 0
D0003, 28, Nome_Port, 0, 0, 0
D0003, 28, Teller_Dest, 0, 2, 2
D0003, 28, Camp_Pendleton_Airport, 0, 0, 0
D0003, 28, Point_Loma, 0, 0, 0
D0003, 29, Juneau_Airport, 1, 3, 2
D0003, 29, Mosquito_Lake_Sup, 7, 0, 0
D0003, 29, Tanani_Sup, 0, 0, 0
D0003, 29, Mud_Bay_Sup, 0, 0, 0
D0003, 29, Port_Chilkoot, 0, 0, 0
D0003, 29, Elmendorf_AFB, 0, 0, 0
D0003, 29, Anchorage_Port, 0, 0, 0
D0003, 29, Seward_MPF_Port, 0, 0, 0
D0003, 29, Fairbanks_Airport, 0, 2, 2
D0003, 29, Nome_Airport, 0, 0, 0
D0003, 29, Nome_Port, 0, 0, 0
D0003, 29, Teller_Dest, 0, 2, 2
D0003, 29, Camp_Pendleton_Airport, 0, 0, 0
D0003, 29, Point_Loma, 0, 0, 0
D0003, 30, Juneau_Airport, 1, 3, 2
D0003, 30, Mosquito_Lake_Sup, 7, 0, 0
D0003, 30, Tanani_Sup, 0, 0, 0
D0003, 30, Mud_Bay_Sup, 0, 0, 0
D0003, 30, Port_Chilkoot, 0, 0, 0
D0003, 30, Elmendorf_AFB, 0, 0, 0
D0003, 30, Anchorage_Port, 0, 0, 0
D0003, 30, Seward_MPF_Port, 0, 0, 0
D0003, 30, Fairbanks_Airport, 0, 2, 2
D0003, 30, Nome_Airport, 0, 0, 0
D0003, 30, Nome_Port, 0, 0, 0
D0003, 30, Teller_Dest, 0, 2, 2
D0003, 30, Camp_Pendleton_Airport, 0, 0, 0
D0003, 30, Point_Loma, 0, 0, 0
D0003, 31, Juneau_Airport, 1, 3, 2
D0003, 31, Mosquito_Lake_Sup, 7, 0, 0
D0003, 31, Tanani_Sup, 0, 0, 0
D0003, 31, Mud_Bay_Sup, 0, 0, 0
D0003, 31, Port_Chilkoot, 0, 0, 0
D0003, 31, Elmendorf_AFB, 0, 0, 0
D0003, 31, Anchorage_Port, 0, 0, 0
D0003, 31, Seward_MPF_Port, 0, 0, 0
D0003, 31, Fairbanks_Airport, 0, 2, 2
D0003, 31, Nome_Airport, 0, 0, 0
D0003, 31, Nome_Port, 0, 0, 0
D0003, 31, Teller_Dest, 0, 2, 2
D0003, 31, Camp_Pendleton_Airport, 0, 0, 0
D0003, 31, Point_Loma, 0, 0, 0
D0003, 32, Juneau_Airport, 1, 3, 2
D0003, 32, Mosquito_Lake_Sup, 7, 0, 0
D0003, 32, Tanani_Sup, 0, 0, 0
D0003, 32, Mud_Bay_Sup, 0, 0, 0
D0003, 32, Port_Chilkoot, 0, 0, 0
D0003, 32, Elmendorf_AFB, 0, 0, 0
D0003, 32, Anchorage_Port, 0, 0, 0
D0003, 32, Seward_MPF_Port, 0, 0, 0
D0003, 32, Fairbanks_Airport, 0, 2, 2
D0003, 32, Nome_Airport, 0, 0, 0
D0003, 32, Nome_Port, 0, 0, 0
D0003, 32, Teller_Dest, 0, 2, 2
D0003, 32, Camp_Pendleton_Airport, 0, 0, 0
D0003, 32, Point_Loma, 0, 0, 0
D0003, 33, Juneau_Airport, 1, 3, 2
D0003, 33, Mosquito_Lake_Sup, 7, 0, 0
D0003, 33, Tanani_Sup, 0, 0, 0
D0003, 33, Mud_Bay_Sup, 0, 0, 0
D0003, 33, Port_Chilkoot, 0, 0, 0
D0003, 33, Elmendorf_AFB, 0, 0, 0
D0003, 33, Anchorage_Port, 0, 0, 0
D0003, 33, Seward_MPF_Port, 0, 0, 0
D0003, 33, Fairbanks_Airport, 0, 2, 2
D0003, 33, Nome_Airport, 0, 0, 0
D0003, 33, Nome_Port, 0, 0, 0
D0003, 33, Teller_Dest, 0, 2, 2
D0003, 33, Camp_Pendleton_Airport, 0, 0, 0
D0003, 33, Point_Loma, 0, 0, 0
D0003, 34, Juneau_Airport, 1, 3, 2
D0003, 34, Mosquito_Lake_Sup, 7, 0, 0
D0003, 34, Tanani_Sup, 0, 0, 0
D0003, 34, Mud_Bay_Sup, 0, 0, 0
D0003, 34, Port_Chilkoot, 0, 0, 0
D0003, 34, Elmendorf_AFB, 0, 0, 0
D0003, 34, Anchorage_Port, 0, 0, 0
D0003, 34, Seward_MPF_Port, 0, 0, 0
D0003, 34, Fairbanks_Airport, 0, 2, 2
D0003, 34, Nome_Airport, 0, 0, 0
D0003, 34, Nome_Port, 0, 0, 0
D0003, 34, Teller_Dest, 0, 2, 2
D0003, 34, Camp_Pendleton_Airport, 0, 0, 0
D0003, 34, Point_Loma, 0, 0, 0
D0003, 35, Juneau_Airport, 1, 0, 0
D0003, 35, Mosquito_Lake_Sup, 7, 0, 0
D0003, 35, Tanani_Sup, 0, 0, 0
D0003, 35, Mud_Bay_Sup, 0, 0, 0
D0003, 35, Port_Chilkoot, 0, 0, 0
D0003, 35, Elmendorf_AFB, 0, 0, 0
D0003, 35, Anchorage_Port, 0, 0, 0
D0003, 35, Seward_MPF_Port, 0, 0, 0
D0003, 35, Fairbanks_Airport, 0, 0, 0
D0003, 35, Nome_Airport, 0, 0, 0
D0003, 35, Nome_Port, 0, 0, 0
D0003, 35, Teller_Dest, 0, 0, 0
D0003, 35, Camp_Pendleton_Airport, 0, 0, 0
D0003, 35, Point_Loma, 0, 0, 0
D0003, 36, Juneau_Airport, 1, 0, 0
D0003, 36, Mosquito_Lake_Sup, 7, 0, 0
D0003, 36, Tanani_Sup, 0, 0, 0
D0003, 36, Mud_Bay_Sup, 0, 0, 0
D0003, 36, Port_Chilkoot, 0, 0, 0
D0003, 36, Elmendorf_AFB, 0, 0, 0
