j,t,l, Inv, Inv_LB, shortage
A011, 12, Phase_I_128_Staging_Location, 0, 0, 0
A011, 12, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 12, Port_of_Belawan, 0, 0, 0
A011, 12, Banda_Aceh_Port, 31, 0, 0
A011, 13, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 13, Phase_II_Farp_2A, 0, 0, 0
A011, 13, Phase_I_313_Staging_Location, 0, 0, 0
A011, 13, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 13, Phase_II_D2_PAA4, 0, 0, 0
A011, 13, Phase_II_PAA2, 0, 0, 0
A011, 13, Sultan_Iskandar_Muda_Airport, 14.0526, 3, 0
A011, 13, Medan_Air_Base, 0, 0, 0
A011, 13, Phase_I_328_Staging_Location, 0, 0, 0
A011, 13, Phase_II_D3_PAA5, 0, 0, 0
A011, 13, Phase_II_D1_PAA_3, 0, 0, 0
A011, 13, Phase_I_128_Staging_Location, 0, 0, 0
A011, 13, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 13, Port_of_Belawan, 0, 0, 0
A011, 13, Banda_Aceh_Port, 31, 0, 0
A011, 14, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 14, Phase_II_Farp_2A, 0, 0, 0
A011, 14, Phase_I_313_Staging_Location, 0, 0, 0
A011, 14, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 14, Phase_II_D2_PAA4, 0, 0, 0
A011, 14, Phase_II_PAA2, 0, 0, 0
A011, 14, Sultan_Iskandar_Muda_Airport, 13.4737, 3, 0
A011, 14, Medan_Air_Base, 0, 0, 0
A011, 14, Phase_I_328_Staging_Location, 0, 0, 0
A011, 14, Phase_II_D3_PAA5, 0, 0, 0
A011, 14, Phase_II_D1_PAA_3, 0, 0, 0
A011, 14, Phase_I_128_Staging_Location, 0, 0, 0
A011, 14, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 14, Port_of_Belawan, 0, 0, 0
A011, 14, Banda_Aceh_Port, 31, 0, 0
A011, 15, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 15, Phase_II_Farp_2A, 0, 0, 0
A011, 15, Phase_I_313_Staging_Location, 0, 0, 0
A011, 15, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 15, Phase_II_D2_PAA4, 0, 0, 0
A011, 15, Phase_II_PAA2, 0, 0, 0
A011, 15, Sultan_Iskandar_Muda_Airport, 12.8947, 3, 0
A011, 15, Medan_Air_Base, 0, 0, 0
A011, 15, Phase_I_328_Staging_Location, 0, 0, 0
A011, 15, Phase_II_D3_PAA5, 0, 0, 0
A011, 15, Phase_II_D1_PAA_3, 0, 0, 0
A011, 15, Phase_I_128_Staging_Location, 0, 0, 0
A011, 15, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 15, Port_of_Belawan, 0, 0, 0
A011, 15, Banda_Aceh_Port, 31, 0, 0
A011, 16, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 16, Phase_II_Farp_2A, 0, 0, 0
A011, 16, Phase_I_313_Staging_Location, 0, 0, 0
A011, 16, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 16, Phase_II_D2_PAA4, 0, 0, 0
A011, 16, Phase_II_PAA2, 0, 0, 0
A011, 16, Sultan_Iskandar_Muda_Airport, 12.3158, 3, 0
A011, 16, Medan_Air_Base, 0, 0, 0
A011, 16, Phase_I_328_Staging_Location, 0, 0, 0
A011, 16, Phase_II_D3_PAA5, 0, 0, 0
A011, 16, Phase_II_D1_PAA_3, 0, 0, 0
A011, 16, Phase_I_128_Staging_Location, 0, 0, 0
A011, 16, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 16, Port_of_Belawan, 0, 0, 0
A011, 16, Banda_Aceh_Port, 31, 0, 0
A011, 17, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 17, Phase_II_Farp_2A, 0, 0, 0
A011, 17, Phase_I_313_Staging_Location, 0, 0, 0
A011, 17, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 17, Phase_II_D2_PAA4, 0, 0, 0
A011, 17, Phase_II_PAA2, 0, 0, 0
A011, 17, Sultan_Iskandar_Muda_Airport, 11.7368, 3, 0
A011, 17, Medan_Air_Base, 0, 0, 0
A011, 17, Phase_I_328_Staging_Location, 0, 0, 0
A011, 17, Phase_II_D3_PAA5, 0, 0, 0
A011, 17, Phase_II_D1_PAA_3, 0, 0, 0
A011, 17, Phase_I_128_Staging_Location, 0, 0, 0
A011, 17, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 17, Port_of_Belawan, 0, 0, 0
A011, 17, Banda_Aceh_Port, 31, 0, 0
A011, 18, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 18, Phase_II_Farp_2A, 0, 0, 0
A011, 18, Phase_I_313_Staging_Location, 0, 0, 0
A011, 18, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 18, Phase_II_D2_PAA4, 0, 0, 0
A011, 18, Phase_II_PAA2, 0, 0, 0
A011, 18, Sultan_Iskandar_Muda_Airport, 11.1579, 3, 0
A011, 18, Medan_Air_Base, 0, 0, 0
A011, 18, Phase_I_328_Staging_Location, 0, 0, 0
A011, 18, Phase_II_D3_PAA5, 0, 0, 0
