h,l,lprime, t, Zvalue
C-17, Nome_Airport, Juneau_Airport, 21, -0
C-17, Nome_Airport, Juneau_Airport, 22, 0
C-17, Nome_Airport, Juneau_Airport, 23, -0
C-17, Nome_Airport, Juneau_Airport, 24, -0
C-17, Nome_Airport, Juneau_Airport, 25, 1
C-17, Nome_Airport, Juneau_Airport, 26, -0
C-17, Nome_Airport, Juneau_Airport, 27, -0
C-17, Nome_Airport, Juneau_Airport, 28, 0
C-17, Nome_Airport, Juneau_Airport, 29, 1
C-17, Nome_Airport, Juneau_Airport, 30, -0
C-17, Nome_Airport, Juneau_Airport, 31, -0
C-17, Nome_Airport, Juneau_Airport, 32, -0
C-17, Nome_Airport, Juneau_Airport, 33, -0
C-17, Nome_Airport, Elmendorf_AFB, 0, 0
C-17, Nome_Airport, Elmendorf_AFB, 1, 0
C-17, Nome_Airport, Elmendorf_AFB, 2, 1
C-17, Nome_Airport, Elmendorf_AFB, 3, 0
C-17, Nome_Airport, Elmendorf_AFB, 4, 1
C-17, Nome_Airport, Elmendorf_AFB, 5, -0
C-17, Nome_Airport, Elmendorf_AFB, 6, 1
C-17, Nome_Airport, Elmendorf_AFB, 7, -0
C-17, Nome_Airport, Elmendorf_AFB, 8, -0
C-17, Nome_Airport, Elmendorf_AFB, 9, -0
C-17, Nome_Airport, Elmendorf_AFB, 10, 0
C-17, Nome_Airport, Elmendorf_AFB, 11, 0
C-17, Nome_Airport, Elmendorf_AFB, 12, 0
C-17, Nome_Airport, Elmendorf_AFB, 13, 1
C-17, Nome_Airport, Elmendorf_AFB, 14, 1
C-17, Nome_Airport, Elmendorf_AFB, 15, -0
C-17, Nome_Airport, Elmendorf_AFB, 16, -0
C-17, Nome_Airport, Elmendorf_AFB, 17, -0
C-17, Nome_Airport, Elmendorf_AFB, 18, -0
C-17, Nome_Airport, Elmendorf_AFB, 19, -0
C-17, Nome_Airport, Elmendorf_AFB, 20, -0
C-17, Nome_Airport, Elmendorf_AFB, 21, -0
C-17, Nome_Airport, Elmendorf_AFB, 22, -0
C-17, Nome_Airport, Elmendorf_AFB, 23, -0
